Tamil 2,Bharati,Code
கண்,,39:41:8:13:40:40
காது,,24:37:8:19:40:40
பொடி,,33:29:15:18:40:40
மடி,,39:29:10:18:40:40
சதி,,39:29:6:19:40:40
கடை,,39:25:8:18:40:40
கலை,,39:25:8:9:40:40
தடி,,39:29:19:18:40:40
ஊண்,,38:41:5:13:40:40
காடு,,24:37:8:18:40:40
காய்,,24:41:8:21:40:40
கால்,,24:41:8:9:40:40
ஆண்,,24:41:5:13:40:40
பெண்,,27:41:15:13:40:40
மலை,,39:25:10:9:40:40
சிலை,,29:25:6:9:40:40
வலை,,39:25:20:9:40:40
கடை,,39:25:8:18:40:40
கடி,,39:29:8:18:40:40
பிடி,,29:29:15:18:40:40
வரை,,39:25:20:16:40:40
குதி,,37:29:8:19:40:40
ஓடு,,34:37:5:18:40:40
சுடு,,37:37:6:18:40:40
பேசு,,28:37:15:6:40:40
எறி,,27:29:5:16:40:2
போடு,,34:37:15:18:40:40
வீசு,,30:37:20:6:40:40
மழை,,39:39:11:18:40:40
சரி,,39:25:10:9:40:2
நான்,,39:29:6:16:40:40
படி,,24:41:11:11:40:2
பார்,,39:29:15:18:40:40
பேனா,,24:41:15:16:40:40
ஊர்,,28:24:15:11:40:2
வீடு,,38:41:5:16:40:40
வீதி,,30:37:20:18:40:40
ஒலி,,30:29:20:19:40:40
ஒளி,,33:29:5:9:40:40
கிழி,,33:29:5:9:40:2
கிளி,,29:29:8:9:40:2
கீழ்,,29:29:8:9:40:2
குடி,,30:41:8:9:40:2
குடை,,37:29:8:18:40:40
சொல்,,37:25:8:18:40:40
பானை,,33:41:6:9:40:40
கேள்,,24:25:15:11:40:2
கொடி,,28:41:8:9:40:2
கொடு,,33:29:8:18:40:40
வரி,,33:37:8:18:40:40
கோழி,,39:29:20:16:40:40
முடி,,34:29:8:9:40:2
தோல்,,37:29:10:18:40:40
சனி,,34:41:19:9:40:40
குழு,,39:29:6:11:40:2
தலை,,37:37:8:9:40:2
இசை,,39:25:19:9:40:40
நகை,,29:25:5:6:40:40
சிலை,,39:25:11:8:40:40
சுடு,,29:25:6:9:40:40
மீன்,,37:37:6:18:40:40
தலை,,30:41:10:11:40:2
செடி,,39:25:19:9:40:40
சேலை,,27:29:6:18:40:40
மண்,,28:25:6:9:40:40
ஓடு,,39:41:10:13:40:40
தரை,,34:37:5:18:40:40
தாடி,,39:25:19:16:40:40
துணி,,24:29:19:18:40:40
துவை,,37:29:19:13:40:40
தூசு,,37:25:19:20:40:40
சாலை,,38:37:19:6:40:40
தேன்,,24:25:6:9:40:40
தேனீ,,28:41:19:11:40:2
தொடை,,28:30:19:11:40:2
தொடு,,33:25:19:18:40:40
நம்,,33:37:19:18:40:40
நரி,,39:39:11:18:40:40
நாடு,,39:41:11:10:40:40
நிலா,,39:29:11:16:40:40
நான்,,24:37:11:18:40:40
நீர்,,29:24:11:9:40:40
நெய்,,24:41:11:11:40:2
நோய்,,30:41:11:16:40:40
நொடி,,27:41:11:21:40:40
,,34:41:11:21:40:40
,,33:29:11:18:40:40