Telugu 2,Bharati,Code
ఆరు,आरु,24:37:5:16:40:40
కాటు,काटु,24:37:8:18:40:40
కాణీ,काणी,24:30:8:13:40:40
కేక,केक,28:39:8:8:40:40
కైపు,कैपु,25:37:8:15:40:40
కోక,कॉक,33:39:8:8:40:40
కౌలు,कौलु,26:37:8:9:40:40
గాజు,गाजु,24:37:8:6:3:3
గీత,गीत,30:39:8:19:3:40
చలి,चलि,39:29:6:9:40:40
జడి,जडि,39:29:6:18:3:3
జలం,जलं,39:39:6:9:23:3:40
జాడ,जाड,24:39:6:18:3:3
జాడీ,जाडी,24:30:6:18:3:3
టపా,टपा,39:24:18:15:40:40
టైపు,टैपु,25:37:18:15:40:40
డాలు,डालु,24:37:18:9:3:40
డేరా,डेरा,28:24:18:16:3:40
తాకు,ताकु,24:37:19:8:40:40
తాడు,ताडु,24:37:19:18:40:3
తాత,तात,24:39:19:19:40:40
తాను,तानु,24:37:19:11:40:40
తీగ,तीग,30:39:19:8:40:3
తీరు,तीरु,30:37:19:16:30:30
తేనె,तेनॅ,28:27:19:11:40:40
తోడు,तोडु,34:37:19:18:40:3
దాత,दात,24:39:19:19:3:40
దిశ,दिश,29:39:19:17:3:1
దోయి,दॉयि,33:29:19:21:3:40
దౌడు,दौडु,26:37:19:18:3:3
నది,नदि,39:29:11:19:40:3
నాది,नादि,24:29:11:19:40:3
నిషా,नीषा,30:24:11:17:40:2
నూనె,नूनॅ,38:27:11:11:40:40
పాక,पाक,24:39:15:8:40:40
పాప,पाप,24:39:15:15:40:40
పీత,पीत,30:39:15:19:40:40
పైడి,पैडि,25:29:15:18:40:3
పైరు,पैरु,25:37:15:16:40:40
బడి,बडि,39:29:15:18:3:3
బాధ,बाध,24:39:15:19:3:4
భలే,भले,39:28:15:9:4:40
భాష,भाष,24:39:15:17:4:2
మాపు,मापु,24:37:10:15:40:40
మాయ,माय,24:39:10:21:40:40
మావి,मावि,24:29:10:20:40:40
మోడు,मोडु,34:37:10:18:40:3
యావ,याव,24:39:21:20:40:40
యాస,यास,24:39:21:17:40:40
యోగి,योगि,34:29:21:8:40:3
రాగి,रागि,24:29:16:8:40:3
రేవు,रेवु,28:37:16:20:40:40
రైతు,रैतु,25:37:16:19:40:40
రైలు,रैलु,25:37:16:9:40:40
రొద,रॉद,33:39:16:19:40:3
రోత,रोत,34:39:16:19:40:40
లావు,लावु,24:37:7:20:40:40
లేఖ,लेख,28:39:9:8:40:0
శాఖ,शाख,24:39:17:8:1:0
శిఖ,शिख,29:39:17:8:1:0
సీసా,सीसा,30:24:17:17:40:40
సైగ,सैग,25:39:17:8:40:3
సోకు,सोकु,34:37:17:8:40:40
అల,అల,39:39:5:9:40:40
ఆశ,ఆశ,24:39:5:17:40:1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
కంఠం,కంఠం,
ఘనం,ఘనం,
జయం,జయం,
దంభం,దంభం,
ధనం,ధనం,
శంఖం,శంఖం,