Bengali 3,Bharati,Code
বাতাস,,24:24:39:15:19:17:3:40:40
অচল,,39:39:39:5:6:9:40:40:40
অনল,,39:39:39:5:11:9:40:40:40
অলীক,,39:30:39:5:9:8:40:40:40
অসনি,,39:39:29:5:17:11:40:40:40
অধীর,,39:30:39:5:19:16:40:4:40
অনিল,,39:29:39:5:11:9:40:40:40
অলস,,39:39:39:5:9:17:40:40:40
আকাশ,,24:24:39:5:8:17:40:40:2
আবীর,,24:30:39:5:15:16:40:3:40
অাবার,,24:24:39:5:15:16:40:3:40
অদৃত,,39:35:39:5:19:19:40:3:40
আবৃত,,24:35:39:5:15:19:40:3:40
ইমন,,29:39:39:5:10:11:40:40:40
পৃথিবী,,35:29:30:15:19:15:40:0:3
চলন,,39:39:39:6:9:11:40:40:40
বলন,,39:39:39:15:9:11:3:40:40
কথন,,39:39:39:8:19:11:40:0:40
ধরনী,,39:39:30:19:16:11:4:40:40
তরনী,,39:39:30:19:16:11:40:40:40
ঘরনী,,39:39:30:8:16:11:4:40:40
জলজ,,39:39:39:6:9:6:3:40:3
জলধি,,39:39:29:6:9:19:3:40:4
গগন,,39:39:39:8:8:11:3:3:40
ছলনা,,39:39:24:6:9:11:0:40:40
জাহাজ,,24:24:39:6:7:6:3:40:3
পথিক,,39:29:39:15:19:8:40:0:40
ভবন,,39:39:39:15:15:11:4:3:40
ফসল,,39:39:39:15:17:9:0:40:40
বৈভব,,25:39:39:15:15:15:3:4:3
বাহবা,,24:39:24:15:7:15:3:40:3
মহিমা,,39:29:24:10:7:10:40:40:40
ভারত,,24:39:39:15:16:19:4:40:40
আসাম,,24:24:39:5:17:10:40:40:40
পবন,,39:39:39:15:15:11:40:3:40
পথিক,,39:29:39:15:19:8:40:0:40
বারতা,,24:39:24:15:16:19:3:40:40
লাবনী,,24:39:30:9:15:11:40:3:40
ভেজাল,,28:24:39:15:6:9:4:3:40
বসন,,39:39:39:15:17:11:3:40:40
ভূসন,,38:39:39:15:17:11:4:40:40
ভুবন,,37:39:39:15:15:11:4:3:40
শমন,,39:39:39:17:10:11:2:40:40
হতাস,,39:24:39:7:19:17:40:40:40
গরল,,39:39:39:8:16:9:3:40:40
চলন,,39:39:39:6:9:11:40:40:40
অচল,,39:39:39:5:6:9:40:40:40
কবিতা,,39:29:24:8:15:19:40:3:40
উতলা,,37:39:24:5:19:9:40:40:40
অনেক,,39:28:39:5:11:8:40:40:40
তাকান,,24:24:39:19:8:11:40:40:40
বাগান,,24:24:39:15:8:11:3:3:40